Title,Series,Synopsis,URL,Genre,Category,Availability,Duration,Date,Column,Row,Box_Set,Channel,Box_Yes,Box_No,Title_Synopsis,Pid,episodeID,programmeID,seriesID,Is_Live,Is_Live_Yes,Is_Live_No,Actual_Genre
Showtrial,,"Rich, unlikable, accused of murder and caught in a media witch hunt. But did she do it?",https://www.bbc.co.uk/iplayer/episodes/p09twdp8/showtrial?seriesId=p09twdth,,hero,,,31/10/2021,1,0,yes,BBC One,1,0,"Showtrial -- Rich, unlikable, accused of murder and caught in a media witch hunt. But did she do it?",p09twdp8,,p09twdp8,p09twdth,no,0,1,DRAMA > CRIME
Doctor Who: Flux,Flux,The Halloween Apocalypse,https://www.bbc.co.uk/iplayer/episodes/b006q2x0/doctor-who?seriesId=m00116r6,Sci-Fi,New & Trending,,,31/10/2021,1,1,yes,BBC One,1,0,Doctor Who: Flux -- The Halloween Apocalypse,b006q2x0,,b006q2x0,m00116r6,no,0,1,DRAMA > SCIFI & FANTASY
Angels of the North: Big Tyne,Big Tyne,Big hair... and beyond,https://www.bbc.co.uk/iplayer/episodes/p07vbq9r/angels-of-the-north?seriesId=p09y9dps,Reality,New & Trending,,,31/10/2021,2,1,yes,BBC Three,1,0,Angels of the North: Big Tyne -- Big hair... and beyond,p07vbq9r,,p07vbq9r,p09y9dps,no,0,1,"ENTERTAINMENT,REALITY,FACTUAL > BEAUTY & STYLE"
Match of the Day,,30/10/2021: With Spurs v Man Utd,https://www.bbc.co.uk/iplayer/episode/m00116q2/match-of-the-day-202122-30102021,Sport,New & Trending,Available for 6 days,85 mins,31/10/2021,3,1,no,BBC One,0,1,Match of the Day -- 30/10/2021: With Spurs v Man Utd,m00116q2,m00116q2,b007t9y1,,no,0,1,SPORT > FOOTBALL
The Outlaws,,New episodes every week,https://www.bbc.co.uk/iplayer/episodes/m0010zy5/the-outlaws?seriesId=m0010zy3,Comedy,New & Trending,,,31/10/2021,4,1,yes,BBC One,1,0,The Outlaws -- New episodes every week,m0010zy5,,m0010zy5,m0010zy3,no,0,1,"COMEDY,COMEDY > CHARACTER"
I Like the Way U Move,,"Dating, dance, reality and romance",https://www.bbc.co.uk/iplayer/episodes/p09xhxsc/i-like-the-way-u-move,Entertainment,New & Trending,,,31/10/2021,5,1,yes,BBC Three,1,0,"I Like the Way U Move -- Dating, dance, reality and romance",p09xhxsc,,p09xhxsc,,no,0,1,"ENTERTAINMENT,REALITY,TALENT SHOWS"
Bump,,All episodes available now,https://www.bbc.co.uk/iplayer/episodes/p09tw2x1/bump?seriesId=p09tw2yj,Comedy Drama,New & Trending,,,31/10/2021,6,1,yes,BBC One,1,0,Bump -- All episodes available now,p09tw2x1,,p09tw2x1,p09tw2yj,no,0,1,DRAMA > RELATIONSHIPS & ROMANCE
Guilt: Series 2,Series 2,All episodes available now,https://www.bbc.co.uk/iplayer/episodes/m0009qm4/guilt?seriesId=m0010lbl,Crime Drama,New & Trending,,,31/10/2021,7,1,yes,BBC Scotland,1,0,Guilt: Series 2 -- All episodes available now,m0009qm4,,m0009qm4,m0010lbl,no,0,1,"DRAMA,DRAMA > CRIME"
Impeachment: American Crime Story,American Crime Story,The scandal is not the story,https://www.bbc.co.uk/iplayer/episodes/m0010x44/impeachment-american-crime-story?seriesId=m0010t8q,Crime Drama,New & Trending,,,31/10/2021,8,1,yes,BBC Two,1,0,Impeachment: American Crime Story -- The scandal is not the story,m0010x44,,m0010x44,m0010t8q,no,0,1,"DRAMA,DRAMA > CRIME"
Universe,,All episodes available now,https://www.bbc.co.uk/iplayer/episodes/p09ybnpd/universe,Science,New & Trending,,,31/10/2021,9,1,yes,BBC Two,1,0,Universe -- All episodes available now,p09ybnpd,,p09ybnpd,,no,0,1,"DOCUMENTARIES,FACTUAL > SCIENCE & NATURE > SCIENCE & TECHNOLOGY"
